,co_fracc,latitud,longitud,barrio,comuna,fecha,n_personas
3332,6_13,-34.6275140628625,-58.4507088968206,Caballito,6,2020-05-04,1
3333,6_13,-34.6275140628625,-58.4507088968206,Caballito,6,2020-05-06,1
3334,6_13,-34.6275140628625,-58.4507088968206,Caballito,6,2020-05-08,3
3335,6_13,-34.6275140628625,-58.4507088968206,Caballito,6,2020-05-18,1
3336,6_14,-34.626144914498894,-58.4468155732823,Caballito,6,2020-03-22,1
3337,6_14,-34.626144914498894,-58.4468155732823,Caballito,6,2020-03-23,1
3338,6_14,-34.626144914498894,-58.4468155732823,Caballito,6,2020-03-25,3
3339,6_14,-34.626144914498894,-58.4468155732823,Caballito,6,2020-04-02,2
3340,6_14,-34.626144914498894,-58.4468155732823,Caballito,6,2020-04-04,1
3341,6_14,-34.626144914498894,-58.4468155732823,Caballito,6,2020-04-11,1
3342,6_14,-34.626144914498894,-58.4468155732823,Caballito,6,2020-04-18,1
3343,6_14,-34.626144914498894,-58.4468155732823,Caballito,6,2020-04-21,1
3344,6_14,-34.626144914498894,-58.4468155732823,Caballito,6,2020-04-22,4
3345,6_14,-34.626144914498894,-58.4468155732823,Caballito,6,2020-04-29,3
3346,6_14,-34.626144914498894,-58.4468155732823,Caballito,6,2020-05-08,2
3347,6_14,-34.626144914498894,-58.4468155732823,Caballito,6,2020-05-09,1
3348,6_14,-34.626144914498894,-58.4468155732823,Caballito,6,2020-05-12,1
3349,6_15,-34.6257652451901,-58.443119148756296,Caballito,6,2020-03-22,2
3350,6_15,-34.6257652451901,-58.443119148756296,Caballito,6,2020-03-23,1
3351,6_15,-34.6257652451901,-58.443119148756296,Caballito,6,2020-03-25,2
3352,6_15,-34.6257652451901,-58.443119148756296,Caballito,6,2020-03-26,1
3353,6_15,-34.6257652451901,-58.443119148756296,Caballito,6,2020-04-02,1
3354,6_15,-34.6257652451901,-58.443119148756296,Caballito,6,2020-03-29,1
3355,6_15,-34.6257652451901,-58.443119148756296,Caballito,6,2020-04-03,1
3356,6_15,-34.6257652451901,-58.443119148756296,Caballito,6,2020-04-06,2
3357,6_15,-34.6257652451901,-58.443119148756296,Caballito,6,2020-04-04,2
3358,6_15,-34.6257652451901,-58.443119148756296,Caballito,6,2020-04-11,1
3359,6_15,-34.6257652451901,-58.443119148756296,Caballito,6,2020-04-13,1
3360,6_15,-34.6257652451901,-58.443119148756296,Caballito,6,2020-04-25,1
3361,6_15,-34.6257652451901,-58.443119148756296,Caballito,6,2020-05-09,1
3362,6_16,-34.6259022013004,-58.438332920650794,Caballito,6,2020-03-23,4
3363,6_16,-34.6259022013004,-58.438332920650794,Caballito,6,2020-03-25,1
3364,6_16,-34.6259022013004,-58.438332920650794,Caballito,6,2020-03-27,1
3365,6_16,-34.6259022013004,-58.438332920650794,Caballito,6,2020-03-22,1
3366,6_16,-34.6259022013004,-58.438332920650794,Caballito,6,2020-03-28,2
3367,6_16,-34.6259022013004,-58.438332920650794,Caballito,6,2020-03-30,2
3368,6_16,-34.6259022013004,-58.438332920650794,Caballito,6,2020-04-09,1
3369,6_16,-34.6259022013004,-58.438332920650794,Caballito,6,2020-04-18,1
3370,6_16,-34.6259022013004,-58.438332920650794,Caballito,6,2020-04-21,2
3371,6_16,-34.6259022013004,-58.438332920650794,Caballito,6,2020-04-23,3
